date,post_text
2025-03,Baraka sotldi
2025-03,Baraka Sotldi
2025-03,Baraka Sotldi
2025-03,🚘#Gentra At qora 📆 2021 yil 👣109.000 km  ⛽️benzin          Kapital bank  1.Boshlang‘ich to‘lov 500$ 36 oy 6.925.000 so‘m 535$  2.Boshlang‘ich to‘lov 700$ 48 oy 5.795.000 so‘m 447$  3.Boshlang‘ich to‘lov 900$ 60 oy  5.155.000 so'm 398 $  Izoh:1 dona paspirt va prava evaziga  Xamma xarajatlari boshlang'ich tolovini ichida   ☎️ 94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,🚘GENTRA  🗓️2022 🛠️PETNO ⛽️Benzin GAZ 🛞53.000 KM 💰13.000$ Naqd  Boshlang’ich to’lov 600$   36oy 7.700.000    12 Ta Viloyatga Beriladi 1 DONA PASPIRT VA PRAVA  Xamma xarajatlari boshlang'ich tolovini  ☎️ 94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,🚘 #JENTRA A/T  📆 2023 💎 TOZA 👣 50.000KM ⛽️ BENZIN/   Kapital bank  1.Boshlang‘ich to‘lov  400$😱 36 oy  8.250.000 so‘m  2.Boshlang‘ich to‘lov  600$😱 48 oy  6.900.000 so'm  3.Boshlang’ich to’lov  800$😱 60 oy 6.150.000 so’m    12 Ta Viloyatga Beriladi 1 DONA PASPIRT VA PRAVA  Xamma xarajatlari boshlang'ich tolovini  ☎️ 94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,18:00 gacha ishlimz kelaveringlar 👌
2025-03,100$ ga Gentra srochni 1- kelganga beriladi  Hamasi ichida hullas
2025-03,🚘 #JENTRA  📆 2022 💎 BOR 👣 95.00KM ⛽️ BENZIN/   Kapital bank  1.Boshlang‘ich to‘lov  100$😱 36 oy  7.750.000 so‘m  2.Boshlang‘ich to‘lov  300$😱 48 oy  6.500.000so'm  3.Boshlang’ich to’lov  600$😱 60 oy 5.800.000 so’m  12 Ta Viloyatga Beriladi  Izoh:1 dona paspirt va prava evaziga  Xamma xarajatlari boshlang'ich tolovini  ☎️ 94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,🚘CAPTIVA 4 🗓️2018 🛠️ Kraska top tozza ⛽️ Benzin  🛞 220.000 km halol               Boshlang’ich to’lov 1200$   36 oy 9.506.000 sum  12 Ta Viloyatga Beriladi  Izoh:1 dona paspirt va prava evaziga  Xamma xarajatlari boshlang'ich tolovini  ☎️ 94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,🚘#Gentra At qora 📆 2021 yil 👣109.000 km  ⛽️benzin 💥 Kraska bor yuzaki yengil)          Kapital bank  1.Boshlang‘ich to‘lov 700$ 36 oy 6.925.000 so‘m   2.Boshlang‘ich to‘lov 900$ 48 oy 5.795.000 so‘m   3.Boshlang‘ich to‘lov 1100$ 60 oy  5.155.000 so'm   Izoh:1 dona paspirt va prava evaziga  Xamma xarajatlari boshlang'ich tolovini ichida   ☎️ +998-94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,🚘 Cobalt 2021 aftomat  📆 2021 💎 Kraska  ESHIK chizilgan sepilgan 👣 68.000 KM  ⛽️ BENZIN / METAN  gaz ☝️ Tainrovkasi bor          Kapital bank  1.Boshlang‘ich to‘lov 800$ 36 oy 6.080.000 so‘m  2.Boshlang‘ich to‘lov 1000$ 48 oy 5.080.000 so'm  3.Boshlang‘ich to‘lov 1200$ 60 oy 4.510.000 so'm  12 Ta Viloyatga Beriladi  Xamma xarajatlari boshlang'ich tolovini ichida   ☎️  +998-94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,12 Ta Viloyatga Beriladi Xamma xarajatlari boshlang'ich tolovini ichida   ☎️ +998-97-434-00-19 ☎️ +998-94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,500$ li moshinaga 1500$ berishiz kere bo’ladi dushanba sanasidan
2025-03,Endi yana 1000$ li moshinaga 2000$ tolashiz kere bo’ladi
2025-03,🚘 TRECKER Mehanika  📆 2019 💎 TOZA 👣 102.000KM  ⛽️ BENZIN | Propan gaz         Kapital bank  1.Boshlang‘ich to‘lov 1500$ 36 oy 6.374.000 so‘m                                                                                                                             2.Boshlang‘ich to‘lov 1700$ 48 oy 5.334.000 so'm   12 Ta Viloyatga Beriladi Xamma xarajatlari boshlang'ich tolovini ichida   ☎️ +998-97-434-00-19 ☎️ +998-94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,🚘 #JENTRA  A/T QORA RANG   📆 2023 💎 Miyatina chiqan kichkina  👣 28.000KM ⛽️ BENZIN/PROPAN GAZ 4  1.906 pult  2.Polik  3.Tanirovka ruxsati 6 oy 4.Registrator bor   5. Yumshoq yaxshi balonlari oyog’ida 4 ta bor  Kapital bank  1.Boshlang‘ich to‘lov  1400$😱 36 oy 8.250.000 so‘m  2.Boshlang‘ich to‘lov  1550$😱 48 oy 6.880.000 so'm  3.Boshlang’ich to’lov  1700$😱 60 oy 6.150.000 so’m  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan  Xamma xarajatlari boshlang'ich tolovini ichida   ☎️ 94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,🚘 Spark aftomat   📆 2019 💎 Kraska toza 👣 137.000 KM  ⛽️ BENZIN          Kapital bank  1.Boshlang‘ich to‘lov 1200$ 36 oy 4.020.000 so‘m  2.Boshlang‘ich to‘lov 1400$ 48 oy 3.390.000 so'm  Boshlang’ich 2000$ bersa 36 oyga 3.650.000 sum dan chiqadi  12 Ta Viloyatga Beriladi Xamma xarajatlari boshlang'ich tolovini ichida   ☎️ +998-94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,🚘 Cobalt 2023 aftomat  📆 2023 💎 Mayda petnolari bor yuzaki 👣 5.700 KM  ⛽️ BENZINDA         Kapital bank  1.Boshlang‘ich to‘lov 800$ 36 oy 6.370.000 so‘m  2.Boshlang‘ich to‘lov 1000$ 48 oy 5.330.000 so'm  3.Boshlang‘ich to‘lov 1200$ 60 oy 4.740.000 so'm  12 Ta Viloyatga Beriladi  Xamma xarajatlari boshlang'ich tolovini ichida   ☎️  +998-94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,🚘 Cobalt 2021 aftomat  📆 2021 💎 Kraska  ESHIK chizilgan sepilgan 👣 68.000 KM  ⛽️ BENZIN / METAN  gaz ☝️ Tainrovkasi bor          Kapital bank  1.Boshlang‘ich to‘lov 800$ 36 oy 6.080.000 so‘m  2.Boshlang‘ich to‘lov 1000$ 48 oy 5.080.000 so'm  3.Boshlang‘ich to‘lov 1200$ 60 oy 4.510.000 so'm  12 Ta Viloyatga Beriladi  Xamma xarajatlari boshlang'ich tolovini ichida   ☎️  +998-94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi
2025-03,"🚗 Jentra 2023 📆 2023 👣 15.000 km 💎 Toza100% ⛽️ Benzin 🎚️Avtomat Lyuk  🤩Chehol polik  1.Boshlang'ich tolovi  700$ Oylik tolov 3 yilga  8,254,000 sum  1.Boshlang'ich tolovi  900$ Oylik tolov 4 yilga  6,906,000 sum  1.Boshlang'ich tolovi  1100$ Oylik tolov 5 yilga  6,145,000 sum  Xamma xarajatlari boshlang'ich tolovini ichida   ☎️ 94-948-82-72  Telegram lichkam ➡️ Admin Kanalimiz;➡️ Arzoni Bizda Avto  Manzilimiz; ➡️ Joylashuvi"
