date,post_text
2025-03,🚘#Gentra MEXANIKA 📆2023yil   💎Tozza BITTA KRELO PETNO   👣29.000km  ⛽️Benzin  💰10600$              ☎️            +998900590684          Kapital bank  1.Boshlang‘ich to‘lov 900$ 36 oy 6.493.000 so‘m   2.Boshlang‘ich to‘lov 1100$ 48 oy 5.433.000 so‘m   3.Boshlang‘ich to‘lov 1250$ 60 oy 4.850.000 so'm
2025-03,🚘#Gentra AT 📆2023yil   💎Tozza    👣20.000km  ⛽️Benzin  💰12500$              ☎️            +998911341110          Kapital bank  1.Boshlang‘ich to‘lov 200$ 36 oy 8.220.000 so‘m 635$  2.Boshlang‘ich to‘lov 400$ 48 oy 6.879.000 so‘m 531$  3.Boshlang‘ich to‘lov 600$ 60 oy 6.121.000 so'm 473$
2025-03,🚘#Gentra AT 📆2021yil 💎kraska bor 👣75.000km  ⛽️BENZIN 💰11200$              ☎️            +998900590684                  @avto_admin_1110            Kapital bank  1.Boshlang‘ich to‘lov 600$ 36 oy 6.923.000 so‘m 535$  2.Boshlang‘ich to‘lov 750$ 48 oy 5.800.000 so‘m 447$  3.Boshlang‘ich to‘lov 900$ 60 oy 5.151.000 so'm 398$  https://t.me/Avto_varyand
2025-03,🚘#GENTR AFTAMAT  📆  2023 yil  💎 tozza 👣 15.000 km ⛽️ Benzin  💰  13.500$  ☎️            +998911341110                  @avto_admin_1110            Kapital bank  1.Boshlang‘ich to‘lov 700$ 36 oy 8.222.000 so‘m 635$  2.Boshlang‘ich to‘lov 900$ 48 oy 6.880.000 so‘m 531$  3.Boshlang‘ich to‘lov 1100$ 60 oy 6.121.000 so'm 473$  https://t.me/Avto_varyand
2025-03,🚘#Gentra AT 📆2022yil 💎KAPOT KRILO   👣100.000km  ⛽️BENZIN.PROPAN  💰12.000$              ☎️            +998911341110                  @avto_admin_1110            Kapital bank  1.Boshlang‘ich to‘lov 550$ 36 oy 7.718.000 so‘m 596$  2.Boshlang‘ich to‘lov 750$ 48 oy 6.458.000 so‘m 499$  3.Boshlang‘ich to‘lov 950$ 60 oy 5.746.000 so'm 444$  https://t.me/Avto_varyand
2025-03,🚘#TRACKER 2 PREMIER 📆2023 yil   💎KAPOT KRILO 👣38.000km  ⛽️Benzin  💰14.700$              ☎️            +998911341110                  @avto_admin_1110            Kapital bank  1.Boshlang‘ich to‘lov 1200$ 36 oy 9.050.000 so‘m 695$  2.Boshlang‘ich to‘lov 1400$ 48 oy 7.535.000 so‘m 582$  3.Boshlang‘ich to‘lov 1600$ 60 oy 6.705.000 so'm 518$  https://t.me/Avto_varyand
2025-03,🚘#TRACKER 2 PREMIER 📆2023 yil   💎KAPOT KRILO 👣31.000km  ⛽️BENZIN/PROPAN  💰14.900$              ☎️            +998911341110                  @avto_admin_1110            Kapital bank  1.Boshlang‘ich to‘lov 1400$ 36 oy 9.050.000 so‘m 695$  2.Boshlang‘ich to‘lov 1600$ 48 oy 7.535.000 so‘m 582$  3.Boshlang‘ich to‘lov 1800$ 60 oy 6.705.000 so'm 518$  https://t.me/Avto_varyand
2025-03,🚘#MONZA 1.3 TURBO 📆 2023 YIL 💎BAGAJ PETNO 👣36.000 km ⛽️BENZİN 💰16.800$    ☎️            +998911341110                    @avto_admin_1110          Kapital bank  1.Boshlang‘ich to‘lov 1700$ 36 oy 10.040.000 so‘m 793$  2.Boshlang‘ich to‘lov 2000$ 48 oy 8.400.000 so‘m 664$  3.Boshlang‘ich to‘lov 2300$ 60 oy 7.470.000so'm  590$  https://t.me/Avto_varyand
2025-03,🚘#TRACKER 1 PREMER 📆 2020YIL 💎TOZZA 👣67.000 km ⛽️BENZİN  💰11.200$    ☎️            +998911341110                   @avto_admin_1110          Kapital bank  1.Boshlang‘ich to‘lov 1350$ 36 oy 6.775.000 so‘m 521$  2.Boshlang‘ich to‘lov 1550$ 48 oy 5.670.000 so‘m 436$  3.Boshlang‘ich to‘lov 1750$ 60 oy 5.045.000so'm  388$  https://t.me/Avto_varyand
2025-03,🚘#COBALT AT  📆 2022 YIL 💎KAPOT KRILO 👣149.000 km ⛽️BENZİN/Gaz 💰10.000$    ☎️           +998911341110                   @avto_admin_1110          Kapital bank  1.Boshlang‘ich to‘lov 1050$ 36 oy 6.125.000 so‘m 473$  2.Boshlang‘ich to‘lov 1250$ 48 oy 5.125.000 so‘m 396$  3.Boshlang‘ich to‘lov 1450$ 60 oy 4.560.000so'm 352$   https://t.me/Avto_varyand
