date,post_text
2025-03,"• Модель - #MAZDA 3• • Цвет - Синий• • Год выпуска - 2008• • Позиция - Автомат• • Пробег - 200.000 km • • Объём двигателя - 1,6• • Мощность - 105 л.с • Топливо - /Benzin 92-95• • Состояние - Отличное• • Краска - Местами• • Цена - 6.800$• •Дополнительная информация: Чехлы,Полики,Монитор,Сигнализация Magicar,ВидеоРегистратор.Шины почти новые• • Номер телефона - +998(99)997-87-34• •Адрес - #Ташкент•  •Канал объявлений:  Telegram | Instagram | Facebook"
2025-03,"• Модель - #Spark • • Цвет - Мокрый асфальт• • Год выпуска - 2021/2022• • Позиция - 4 АТ • • Пробег - 36.000 km • • Объём двигателя - 1.25• • Мощность - 85 л.с. • Топливо - /Benzin 92• • Количество хозяев - 1• • Состояние - Хорошее• • Краска - 5% (Правый порог крашен) • Цена - 9.100$• Видео-регистратор AZDOME-AR09, Полики Evakore Premium , динамики Pioneer, красные спортивные ремни атермальная пленка Lumar Обвесы вкруг Stelthside,Облицовка black piano. Спортивные диски R15, Сигнализация Magicar 908 • Номер телефона - +998(99)997-87-34• •Адрес - #Ташкент•  •Канал объявлений:  Telegram | Instagram | Facebook"
2025-03,❌Продано за 17.000$❌
2025-03,"• Модель - #Suzuki #Wagon R+• • Цвет - Серебристый• • Год выпуска - 1999• • Пробег ~ 340.000 km •Объем двигателя - 1.0 • Мощность - 100 л.с • Топливо - /Propan /Benzin • Количество хозяев - 1• • Состояние - Отличное• • Краска - Родная,Чистая• • Цена - 4.000$• •Дополнительная информация: Полная шумоизоляция,сигнализация Magicar,Видеорегистратор,LED фары,Магнитола Pioneer,Динамики Pioneer,Покрышки новые. состоянии• • Номер телефона - +998(91) 287-88-88• • Адрес  - #Коканд •  ⛔️Аренды, рассрочки и прочих вариантов нет!  •Канал объявлений:  Telegram | Instagram | Facebook"
2025-03,❗️Цена снижена❗️ ❌Старая цена: 90.000$❌ 😱 Новая цена: 86.000$ 😱
2025-03,"• Модель - #Mercedes-Benz e200 w210• • Цвет - Серебристый• • Год выпуска - 1998• • Пробег - Неизвестен • • Объём двигателя - 2.0• • Мощность - 136 л.с. • Топливо - /Benzin• • Количество хозяев - 3+• • Состояние - Хорошее• • Краска - Освеженная• • Цена - 7.000$• • Навороты: • Номер телефона - +998(99)997-87-34• •Адрес - #Ташкент •  ⛔️Аренды, рассрочки и прочих вариантов нет!  •Канал объявлений:  Telegram | Instagram | Facebook"
2025-03,"• Модель - #Toyota #Yaris• • Цвет - Серебристый • Год выпуска - •2008 • Пробег - 203 000 km • Объём двигателя - 1,2 • • Мощность - 87 л.с. • Топливо - /Benzin• • Количество хозяев - 2• • Состояние - Хорошее• • Краска - Родная,Чистая• • Цена - 8.000$• • Дополнительна информация:  сигнализация Pandora • Номер телефона - +998(99)997-87-34•  ⛔️Аренды, рассрочки и прочих вариантов нет!  •Канал объявлений:  Telegram | Instagram | Facebook"
2025-03,❌Продано за 18.000$❌
2025-03,✅Забронировано✅
2025-03,"• Модель - #Lexus #LS400• • Цвет - Candy Black• • Год выпуска - 1995• • Комплектация - Full• • Пробег -  180.000 mil • • Объём двигателя - 4.0• • Мощность - 264 л.с. • Топливо - /Benzin 92/95• • Количество хозяев - 2• • Состояние - Идеальное• • Краска - глубокий черный (кузов полностью перекрашен, работа премиум-класса)• • Цена - 15.000$• •Круговая тонировка разрешение до 10.11.2025  Шины и диски: * Основной комплект: NEXEN N7000 Plus (225/60 R16) на заводских R16 дисках * Запаска: Pirelli P6000 (235/60 R16) на заводском диске  Электрика: Электрика полностью перебрана и работает без нареканий: память руля и сидений, электропривод сидений, климат-контроль, круиз-контроль – всё функционирует.  Один из лучших LS400 по своему состоянию в Узбекистане. Разгон очень бодрый для своих лет, менее 8 секунд до 100км/ч  • Номер телефона - +998(99)997-87-34• •Адрес - #Ташкент •  ⛔️Аренды, рассрочки и прочих вариантов нет!  •Канал объявлений:  Telegram | Instagram | Facebook"
2025-03,"• Модель - #Gentra #Lacetti• • Цвет - Белый• • Год выпуска - 2009 (Кузов 2020)• •Позиция - 2 МТ• • Объём двигателя - 2.3L Turbo • • Мощность - 300+ л.с. • Топливо - /Benzin• • Количество хозяев - 1• •Краска - Местами• • Состояние - Идеальное• • Цена - 10.000$ Дополнительная информация: Турбина TD05 G20,Турбина актуатор раздувается на 2.300 об до 6.000 Блоуоф Tial,Интеркуллер Mishimoto,Настроен лаунч от 3.600,Керамическое сцепление ,Электрика пересобрана (Хусни),Опорники передние BREMBO,Тормоза Epica,Регулятор топлива,Сигнализация Magicar с турботаймером,Аудиосистема Pioneer,Передние фары «Американка»,Задние фары Optra• • Номер телефона - +998(99)997-87-34• •Адрес - #Ташкент•  ⛔️ Аренда, рассрочка и другие варианты не рассматриваются.  •Канал объявлений:  Telegram | Instagram | Facebook"
