date,post_text
2025-03,#Zeekr 001 : (99)054-00-05
2025-03,#Malibu 2 Oq Premier 2Turbo : (99)054-00-05
2025-03,#Gentra Chokko A/T : (97)427-55-55 (99)054-00-05
2025-03,#Damas Qaymo Deluxe : (97)105-10-56
2025-03,#Damas Qaymo Deluxe : (93)514-12-22
2025-03,#Matiz Oq Best : (97)105-10-56
2025-03,#Matiz Oq Best : (93)514-12-22
2025-03,#Damas Oq Deluxe : (77)020-44-43 (99)012-44-43
2025-03,#Lasettiy Qora A/T : (33)707-70-04 (88)738-55-25
2025-03,#Epica Mexanika : (95)003-33 SOTILDI ✅🤝
2025-03,#Gentra Mokriy A/T : (97)464-26 SOTILDI ✅🤝
2025-03,#Spark Salativiy A/T : (93)601-00-09
2025-03,#Lada Niva 4 x 4 3121 : (98)100-14-11
2025-03,#KIA K8 3.5 Full (98)307-44-14
2025-03,#BYD Champion Full Hybrid : (99)306-44-14
2025-03,#Gentra Oq A/T : (90)956-85-85
2025-03,#Monza Qora 1.5 : (99)054-00-05 Boshlangich : 5.000$ 24 Oy 720$ Dan
2025-03,#Tracker 2 Qora Premier : (99)054-00-05 Boshlangich : 6.000$  24 Oy : 700$
2025-03,#Gentra Oq Nasiya Savdo A/T : (99)054-00-05 Boshiga : 3.400$ 24 oyga 530$
2025-03,#Spark Oq A/T : (99)054-00 SOTILDI ✅🤝
2025-03,#Epica Qora A/T : (95)003-33 SOTILDI ✅🤝
2025-03,10 Minutda Nexia 3 sotildi ✅🤝💸
2025-03,#Nexia 3 Oq M/T : (33)707-70 SOTILDI ✅🤝
2025-03,#Matiz Oq Besta : (99)474-22-22
2025-03,#Spark Oq A/T : (88)333-93-99 (95)003-33-22
2025-03,#Gentra Oq A/T : (97)719-75-57
2025-03,#Spark Mokriy A/T : (99)466-76 SOTILDI ✅🤝
2025-03,#Matiz Oq MX : (97)719-75-57
2025-03,#Gentra Qora A/T : (98)307-44-14
2025-03,#Nexia 3 Oq A/T : (90)110-55-11
2025-03,#Lixiang L9 Ultra : (99)306-44-14
2025-03,#Nexia 3 Oq A/T : (99)054-00-05
2025-03,#Gentra Qora A/T : (99)054-00-05
2025-03,#Gentra Oq Mexanika : (90)047-42-44
2025-03,#Cobalt Oq A/T : (97)747-13-33
2025-03,#Nexia 3 Mokriy A/T : (95)003-33 SOTILDI ✅🤝
2025-03,#Gentra Oq M/T : (98)310-93 SOTILDI ✅🤝
2025-03,#Cobalt Oq A/T : (88)333-93 SOTILDI ✅🤝
2025-03,#Kia Canival Stalnoy A/T : (99)311-22-22
2025-03,#Matiz Stalnoy MX : (97)614-00-02
2025-03,#Malibu 2 2Turbo : (33)717-72-00
2025-03,#Cobalt Oq A/T : (97)747-13-33 (90)047-42-44
2025-03,#Leapmotor C01 Gibrid : (97)744-94-00
2025-03,#Gentra Oq A/T : (99)306-44-14
2025-03,#Gentra 🆕 Chokko A/T : (98)310-93 SOTILDI ✅🤝
2025-03,#Tracker 2 Qora LTZ : (98)307-44 SOTILDI ✅🤝
2025-03,#Malibu 2 Qora Premier : (99)306-44 SOTILDI ✅🤝
2025-03,#Nexia 1 Stalnoy Sons : (94)614-08-88
2025-03,#BYD Song Plus Qora :  (98)307-44 SOTILDI ✅🤝
2025-03,#Hyundai Creta 2.0 : (99)306-44-14
2025-03,#Malibu 2 Mokriy 2.4 : (98)310-93 SOTILDI ✅🤝
2025-03,#Onix Qora LT : (98)307-44-14 (99)306-44-14
2025-03,#Gentra 1.6 A/T : (88)333-93 SOTILDI ✅🤝
2025-03,#Tracker 1 Mokriy Premire : (98)310-93 SOTILDI ✅🤝
2025-03,#Nexia 3 Mokriy A/T : (88)333-93 SOTILDI ✅🤝
2025-03,#Gentra Oq A/T : (88)878-11 SOTILDI ✅🤝
2025-03,#Spark Oq M/T : (88)333-93 SOTILDI ✅🤝
2025-03,#Cobalt Oq A/T : (88)333-93 SOTILDI ✅🤝
2025-03,#Matiz Oq Besta : (98)310-93 SOTILDI ✅🤝
2025-03,#Cobalt Oq A/T : (88)333-93 SOTILDI ✅🤝
2025-03,#Gentra Oq A/T : (99)466-76 SOTILDI ✅🤝
2025-03,#Gentra Oq A/T : (97)464-26 SOTILDI ✅‼️
2025-03,#Spark Mokriy M/T (77)701-02 SOTILDI ✅🤝
2025-03,#Matiz Oq MX : (95)003-33 SOTILDI ✅🤝
2025-03,#Cobalt Oq M/T : (33)336-50 SOTILDI ✅🤝
2025-03,#Cobalt Oq A/T : (99)466-76 SOTILDI ✅🤝
2025-03,#Captiva 4 3L Mator : (88)333-93 SOTILDI ✅🤝
2025-03,#Matiz Oq Supper : (88)333-93 SOTILDI ✅🤝
2025-03,#Nexia 3 Chokko A/T : (98)310-93 SOTILDI ✅🤝
2025-03,#Matiz Best Oq : (95)003-33 SOTILDI ✅🤝
