date,post_text
2025-03,🚘Moshina #EQUINOX 🔢Pozitsiya: GIBRIT 🔄Kraska: TOZA 📶Yil: 2022 🆙Probeg: 40 min ⛽️Benzin 💲Narxi: 28000$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina #Nexia 3 🔢Pozitsiya: 2 🔄Kraska: TOZA 📶Yil: 2022 🆙Probeg: 30 min ⛽️Benzin 💲Narxi: 8800$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘 МАШИНА COBALT 🔢Pozitsiya: 4 🔄Kraska:Toza 📶Yil: 2023 🆙Probeg: 30 min ⛽️GAZ 💲Narxi: 11700$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #Lasetti 🔢Pozitsiya: 3 🔄Kraska: Toza 📶Yil: 2021 sitayil 🆙Probeg: 120 min ⛽️Gaz 💲Narxi: 11300$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina  СПАРК 🔢Pozitsiya 4 ПАЗИА 🔄Kraska:TOZA 📶Yil:2019 🆙Probeg: 120 МИН ⛽️benzin Gaz 💲Narxi: 7700$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #BIVAYDI 🔢Pozitsiya: CHIMPYON +605 🔄Kraska: TOZA 📶Yil: 2024 🆙Probeg: 10 min ⛽️ELEKTIR 💲Narxi: 25000$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,"🚘Moshina modeli: #MALIBU 🔢Pozitsiya: 1,5 TURBO 🔄Kraska: petno bor 📶Yil: 2019 🆙Probeg: 100min ⛽️benzin GAZ 💲Narxi: 17300$ 📞Tel: +998905827070              +998905329889              +998905803020"
2025-03,🚘Moshina modeli: #Lasetti 🔢Pozitsiya: 2 🔄Kraska: petno 📶Yil: 2009 🆙Probeg: 270 min ⛽️Gaz 💲Narxi: 6200$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #Lasetti 🔢Pozitsiya: 3 ELIGANT 🔄Kraska: Toza 📶Yil: 2019 🆙Probeg: 130 min ⛽️Gaz 💲Narxi: 10000$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘 МАШИНА COBALT 🔢Pozitsiya: 4 🔄Kraska:Toza 📶Yil: 2022 🆙Probeg: 87 min ⛽️GAZ 💲Narxi: 10500$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘 МАШИНА COBALT 🔢Pozitsiya: 4 🔄Kraska:Toza 📶Yil: 2025 🆙Probeg: 0 ⛽️BEZIN 💲Narxi: 12600$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #TRACKER 🔢Pozitsiya: LTZ + 🔄Kraska: Toza 📶Yil: 2024 🆙Probeg: 7  min ⛽️BENZIN 💲Narxi: 16000$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #TRACKER 🔢Pozitsiya: LTZ 🔄Kraska: Toza 📶Yil: 2023 🆙Probeg: 10 min ⛽️Gaz 💲Narxi: 15800$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina #Nexia 3 🔢Pozitsiya: 4 🔄Kraska: TOZA 📶Yil: 2022 🆙Probeg: 74 min ⛽️Gaz 💲Narxi: 9700$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #TRACKER 🔢Pozitsiya: PREMIER 🔄Kraska: Toza 📶Yil: 2023 🆙Probeg: 22 min ⛽️Gaz 💲Narxi: 17000$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #ONIX 🔢Pozitsiya: 6 FUL натариси бонус 🔄Kraska: Toza 📶Yil: 2025 🆙Probeg: 0 ⛽️Benzin 💲Narxi: 15600$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #Lasetti 🔢Pozitsiya: 3 🔄Kraska: Toza 📶Yil: 2023 sitayil 🆙Probeg: 23 min ⛽️Gaz 💲Narxi: 14500$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #Lasetti 🔢Pozitsiya: 3 🔄Kraska: Toza 📶Yil: 2021 🆙Probeg: 79 min ⛽️Gaz 💲Narxi: 12300$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #Lasetti 🔢Pozitsiya: 3 🔄Kraska: Toza 📶Yil: 2023 sitayil 🆙Probeg: 0 ⛽️Benzin 💲Narxi: 16500$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #LACETTI 🔢Pozitsiya: 3 🔄Kraska: Toza  📶Yil: 2022 🆙Probeg: 100 min       ⛽️Gaz  💲Narxi: 12000$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina modeli: #LACETTI 🔢Pozitsiya: 3 🔄Kraska: Toza  📶Yil: 2020 🆙Probeg: 90 min       ⛽️Gaz инжектор метан 💲Narxi: 11400$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘 МАШИНА COBALT 🔢Pozitsiya:4 🔄Kraska:Toza 📶Yil: 2022 🆙Probeg: 70  min ⛽️Gaz 💲Narxi: 11200$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘 МАШИНА COBALT 🔢Pozitsiya:2 🔄Kraska:Toza 📶Yil: 2024 🆙Probeg: 53 min ⛽️Gaz 💲Narxi: 11000$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina #Nexia 3 🔢Pozitsiya: 4 🔄Kraska: Petno 📶Yil: 2019 🆙Probeg: 200 min ⛽️Gaz 💲Narxi: 8200$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘 МАШИНА COBALT 🔢Pozitsiya:1 🔄Kraska:ПЕТНО 📶Yil: 2013 🆙Probeg: 184 min ⛽️Gaz 💲Narxi: 7500$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-03,🚘Moshina  ДАМС СТАЙЛ 🔄Kraska:  ТОЗА 📶Yil:2025 🆙Probeg: САЛОНДАН УЙГА ⛽️benzin 💲Narxi: 7600$ 📞Tel: +998905827070              +998905329889              +998905803020
2025-02,🚘Moshina   ЖЕНТРА  🔢Pozitsiya: БИРИЧИ ПАЗИСА АБЕЗ КАНИСАНЕР БОР  🔄Kraska: ПЕТНО БОР  📶Yil:2019 🆙Probeg: 125 МИН  ⛽️benzin МЕТАН ИНЖЕКТОР 💲Narxi: 8500$ БЕРВОРАМИЗ 📞Tel: +998905827070              +998905329889              +998905803020
