date,post_text
2025-03,https://www.instagram.com/reel/DHbewTstr3X/?igsh=dGMwdHRldXk2dnpy
2025-03,🚘#Nexia3 AT 📆2022yil   💎Petno    👣86.000km  ⛽️Benzin  💰9300$              ☎️            +998910033035 ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333           Kapital bank  1.Boshlang‘ich to‘lov 500$ 36 oy 5.830.000 so‘m 450$  2.Boshlang‘ich to‘lov 800$ 48 oy 4.878.000 so‘m 377$  3.Boshlang‘ich to‘lov 1000$ 60 oy 4.340.000 so'm 335$  Telegram | Instagram | Lokatsiya
2025-03,🚘#Onix Avtamat lukli 📆2023yil   💎Tozza    👣 40.000km ⛽️Gaz benzin  💰11600$              ☎️            +998910033035 ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333           Kapital bank  1.Boshlang‘ich to‘lov 1600$ 36 oy 6.928.000 so‘m 539$  2.Boshlang‘ich to‘lov 1800$ 48 oy 5.842.000 so‘m 451$  3.Boshlang‘ich to‘lov 2000$ 60 oy 5.198.000 so'm 401$  Telegram | Instagram | Lokatsiya
2025-03,🚘#Gentra AT 📆2022yil   💎Petno    👣104.000km  ⛽️Gaz benzin 💰12200$              ☎️            +998910033035 ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333           Kapital bank  1.Boshlang‘ich to‘lov 700$ 36 oy 7.718.000 so‘m 596$  2.Boshlang‘ich to‘lov 900$ 48 oy 6.458.000 so‘m 499$  3.Boshlang‘ich to‘lov 1100$ 60 oy 5.746.000 so'm 444$  Telegram | Instagram | Lokatsiya
2025-03,🚘#Cobalt AT 📆2025yil   💎Zamen kuzov bogan    👣1.175km  ⛽️Benzin  💰10200$            ☎️            +998910033035 ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333           Kapital bank  1.Boshlang‘ich to‘lov 500$ 36 oy 6.566.000 so‘m 507$  2.Boshlang‘ich to‘lov 750$ 48 oy 5.494.000 so‘m 424$  3.Boshlang‘ich to‘lov 900$ 60 oy 4.888.000 so'm 378$  Telegram | Instagram | Lokatsiya
2025-03,🚘#Nexia3 AT 📆2022yil   💎Kraska bor    👣60.000km  ⛽️Propan benzin  💰9300$              ☎️            +998910033035 ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333           Kapital bank  1.Boshlang‘ich to‘lov 600$ 36 oy 5.830.000 so‘m 450$  2.Boshlang‘ich to‘lov 800$ 48 oy 4.878.000 so‘m 377$  3.Boshlang‘ich to‘lov 1000$ 60 oy 4.340.000 so'm 335$  Telegram | Instagram | Lokatsiya
2025-03,🚘#Tracker1 Primier 📆2020yil   💎Kraska bor    👣144.000km  ⛽️Gaz benzin  💰11000$               ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333 ☎️            +998910033035          Kapital bank  1.Boshlang‘ich to‘lov 750$ 36 oy 6.744.000 so‘m 521$  2.Boshlang‘ich to‘lov 900$ 48 oy 5.643.000 so‘m 436$  3.Boshlang‘ich to‘lov 1050$ 60 oy 5.000.000 so'm 388$  Telegram | Instagram | Lokatsiya
2025-03,🚘#Gentra AT 📆2023yil   💎Tozza    👣20.000km  ⛽️Benzin  💰12500$              ☎️            +998910033035 ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333           Kapital bank  1.Boshlang‘ich to‘lov 200$ 36 oy 8.220.000 so‘m 635$  2.Boshlang‘ich to‘lov 400$ 48 oy 6.879.000 so‘m 531$  3.Boshlang‘ich to‘lov 600$ 60 oy 6.121.000 so'm 473$  Telegram | Instagram | Lokatsiya
2025-03,🚘#Gentra  📆2022yil   💎Petno 👣45.000km  ⛽️Gaz Benzin  💰12300$              ☎️            +998910033035 ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333           Kapital bank  1.Boshlang‘ich to‘lov 800$ 36 oy 7.718.000 so‘m 596$  2.Boshlang‘ich to‘lov 1000$ 48 oy 6.458.000 so‘m 499$  3.Boshlang‘ich to‘lov 1200$ 60 oy 5.746.000 so'm 444$  Telegram | Instagram | Lokatsiya
2025-03,🚘#Gentra AT 📆2022yil   💎Petno    👣104.000km  ⛽️Gaz benzin 💰12200$              ☎️            +998910033035 ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333           Kapital bank  1.Boshlang‘ich to‘lov 700$ 36 oy 7.718.000 so‘m 596$  2.Boshlang‘ich to‘lov 900$ 48 oy 6.458.000 so‘m 499$  3.Boshlang‘ich to‘lov 1100$ 60 oy 5.746.000 so'm 444$  Telegram | Instagram | Lokatsiya
