date,post_text
2025-01,🚘#DAMAS 📆 2023 YIL 💎TOM PITNO 👣140.000 KM ⛽️BENZIN METAN 💰6000 $  ☎️            +998910033035 ☎️            +998918024444 ☎️            +998904728888           Kapital bank  1.Boshlang‘ich to‘lov 900 $ 36 oy 4.075.000 so‘m 315 $  2.Boshlang‘ich to‘lov 1000 $ 48 oy 3.410.000 so‘m 263 $  3.Boshlang‘ich to‘lov 1200 $ 60 oy  3.035.000 so'm 243 $  Telegram | Instagram | Lokatsiya
2025-01,🚘#GENTRA BEZLYUK 📆 2023 YIL 💎KRILO EWIK KRILO 👣49.000KM ⛽️BENZIN 💰10800$  ☎️            +998910033035 ☎️            +998918024444 ☎️            +998904728888           Kapital bank  1.Boshlang‘ich to‘lov 400 $ 36 oy 7.635.000 so‘m 589 $  2.Boshlang‘ich to‘lov 600 $ 48 oy 6.390.000 so‘m 493 $  3.Boshlang‘ich to‘lov 800 $ 60 oy  5.685.000 so'm  439 $  Telegram | Instagram | Lokatsiya
2025-01,🚘#TRACKER 2 PREMIER 📆 2022 YIL 💎TOZZA 👣30.000 KM ⛽️BENZIN 💰15600$  ☎️            +998910033035 ☎️            +998918024444 ☎️            +998904728888           Kapital bank  1.Boshlang‘ich to‘lov 1900 $ 36 oy 9.665.000 so‘m 746 $  2.Boshlang‘ich to‘lov 2100 $ 48 oy 8.085.000 so‘m 624 $  3.Boshlang‘ich to‘lov 2400 $ 60 oy  7.195.000 so'm  555 $  Telegram | Instagram | Lokatsiya
2025-01,🚘#NEXİA 3 AT 📆 2019 YIL 💎30% 👣200.000KM ⛽️BENZİN GAZ 💰7000$  ☎️            +998918024444 ☎️            +998904728888           Kapital bank  1.Boshlang‘ich to‘lov 800 $ 36 oy 4.685.000 so‘m 362 $  2.Boshlang‘ich to‘lov 900 $ 48 oy 3.920.000 so‘m 303 $  Telegram | Instagram | Lokatsiya
2025-01,"🚘#TRACKER 1 AT 📆 2019 YIL 💎OZZA 👣55,000KM ⛽️BENZIN 💰11500$  ☎️            +998910033035 ☎️            +998918024444 ☎️            +998904728888           Kapital bank  1.Boshlang‘ich to‘lov 1000 $ 36 oy 7.575.000 so‘m 585 $  2.Boshlang‘ich to‘lov 1200 $ 48 oy 6.340.000 so‘m 489 $   Telegram | Instagram | Lokatsiya"
2025-01,🚘#KIA SELTOS +LUK 📆 2021 YIL 💎TOZZA 👣55.500KM ⛽️BENZIN 💰20.000$  ☎️            +998910033035 ☎️            +998918024444 ☎️            +998904728888           Kapital bank  1.Boshlang‘ich to‘lov 3000 $ 36 oy 11.755.000 so‘m 907 $  2.Boshlang‘ich to‘lov 3300 $ 48 oy 9.835.000 so‘m 759 $  3.Boshlang‘ich to‘lov 3600 $ 60 oy  8.750.000 so'm 676  $  Telegram | Instagram | Lokatsiya
2025-01,🚘#GENTRA 📆 2023 YIL 💎KRASKA BOR 👣77.000 KM ⛽️BENZIN 💰13200$  ☎️            +998910033035 ☎️            +998918024444 ☎️            +998904728888           Kapital bank  1.Boshlang‘ich to‘lov 500 $ 36 oy 8.745.000 so‘m 675 $  2.Boshlang‘ich to‘lov 900 $ 48 oy 7.315.000 so‘m 565 $  3.Boshlang‘ich to‘lov 1100 $ 60 oy  6.510.000 so'm 505 $  Telegram | Instagram | Lokatsiya
2025-01,🚘#GENTRA 📆 2022 YIL 💎KAPOT KRILO 👣90.000 KM  ⛽️BENZIN  💰12200$  ☎️            +998910033035 ☎️            +998918024444 ☎️            +998904728888           Kapital bank  1.Boshlang‘ich to‘lov 900 $ 36 oy 7.885.000 so‘m 609 $  2.Boshlang‘ich to‘lov 1200 $ 48 oy 6.600.000 so‘m 509 $  3.Boshlang‘ich to‘lov 1400 $ 60 oy  5.870.000 so'm 453 $  Telegram | Instagram | Lokatsiya
2025-01,🚘#Tracker2 primer 📆 2023yil 💎Tozza    👣 14.000km ⛽️Propan Benzin 💰16200$              ☎️            +998910033035 ☎️            +998904728888 ☎️            +998918024444 ☎️            +998911273333           Kapital bank  1.Boshlang‘ich to‘lov 1600$ 36 oy 9.854.000 so‘m 761$  2.Boshlang‘ich to‘lov 2000$ 48 oy 8.245.000 so‘m 637$  3.Boshlang‘ich to‘lov 2200$ 60 oy 7.336.000 so'm 567$  Telegram | Instagram | Lokatsiya
2025-01,🚘#HYUNDAI ELANTRA 1.6 📆 2021 YIL 💎TOZZA 👣48.000KM ⛽️BENZİN 💰16000$  ☎️            +998910033035 ☎️            +998918024444 ☎️            +998904728888           Kapital bank  1.Boshlang‘ich to‘lov 1300 $ 36 oy 10.155.000 so‘m 784 $  2.Boshlang‘ich to‘lov 1600 $ 48 oy 8.495.000 so‘m 656 $  3.Boshlang‘ich to‘lov 1800 $ 60 oy  7.560.000 so'm  584 $  Telegram | Instagram | Lokatsiya
