date,post_text
2025-03,# iphone 14 Pruple 128GB # ideal xolati # ochilmagan  # karopka dok bor # original zaryatka # Qirilgan chizilga joyi yoq # Narxi 400$ bolishi 933113636
2025-03,Captiva  4 qlingan 2011.yil 105.000km Prapan gazi bor Xolati ideal Narxi 11500$ Arendaga boshiga 2500$  Yillik gadavoy 25  +998933113636  Arendaga bowqa moshnayam qberamiza
2025-03,▪️Audi A7 Quattro Hybrid  ▪️2021 года выпуска. ▪️Объем двигателя 2.0Т ▪️Мощность– 340л/с ▪️Расход топлива в городе 5-6л  ▪️Пробег- 43.000км ▪️Цена 64900$ 📞+998933113636
2025-03,Spark  2019.yil Aftamat 4.pz 150.000km Benzin  2.ta detal kraska Arendaga boshiga 2000$ Tani 9000$  Yillik gadavoy 25 +998933113636
2025-03,"Жентра 3 поз сотилади  2020 йил 53,000 км халол пробег Краска тозза  4 кумхо балони бор  Межикар пулт бор  Кимат чихол бор Видиорегистратир бор Орка парктроник бор  Хуллас мошина идиал иши ек 1 кол мошина салондан хайдалган Бошига 3500$ 12500$ тани  Йиллик гадавой 25%  +998933113636"
2025-03,Lasetti 2010.yil 330.000km 1.8 mator Aftamat lyuk 4-pk prapan gaz  Ishi yo tayyor moshna Arendaga boshiga 1200$ Yillik gadavoy 25%  +998933113636
2025-03,"Аренда. с. выкуп  Cadillac Escalade   Год выпуска: 2024йил. кеган  Пробег: 6000 км  Объем двигателя: 6.2 литров  Мощность: 426 л.с  Разгон до сотни: 6.7 секунд  Бошига 80.000 $ Ойига. 8000 $ дан. 24. ойга. берилади  Автомобиль В топовои‌ комплектации Пневмоподвеска Дистроник Круиз контроль Система удержание в полосе движение Топовая акустика BOSE Кожаныи‌ салон Обдув Обогрев передних сидении‌ Обогрев задних сидений Система Keyless Go Камера 360 градусов Электрическая регулировка передних сидении‌ 4-x Зонныи‌ климат контроль Холодильник Электрическое закрывание багажника, и много другое. Кемга. кизу. боса. видоси. бор.   933113636  @bozorchi900"
2025-03,Supper aksiya ⚡⚡⚡⚡⚡ Nexia 2 2014.yil 270.000km 1.6 dons  Supper bez kansaner Metan gaz Kraska bor ichi butun ⚡⚡⚡⚡⚡⚡⚡⚡ ARENDAGA   Boshiga 350$ srochnoooo  13.oy 490$  18.oy 391$  25.oy 305$  @bozorchi700  +998933113636
2025-03,2013.yil 345.000km Aftamat 3 pz Metan gaz 1.6 mator ful  Arendaga bowiga 2000$ Yillik gadavoy 25%  +998933113636
2025-03,Nexia 3 2017.yil 170.000km Aftamat  Benzin Kraska bor ichi butun Arendaga boshiga 2000$ Yillik gadavoy 25%  +998933113636
2025-03,Lasseti 1.8 aftamat karobka  Yili 2010  Yurgani 250.000 Kraska 4 ta detalda bor ichiga otmagan  Mowinani azgina hadavoyida iwi bor 3 pokolenya gazi bor Arendaga boshiga 1500$  13.oy 548$  25.oy 342$  +998933113636
2025-03,Matiz MX 2017.yil 112.000km Benzin Ponli shumka 4 balon putl Xolati zor Kraska bor ichiga otmagan Boshiga 500$ 13.oy 480$ 25 oy 300$  Srochno +998933113636
2025-02,Nexia 2  2009.yil 280.000km 1.6dons mator Metan gaz  Narxi boliwi 3600$ +998933113636 Faqat naxtka sotiladi...
2025-02,Nexia3 2022.yil 60.000km Benzin Aftamat  Kraska tozza Malibu bar original Malibu rul original Palirofka  Shumka Tayyor moshna Narxi 11.000$ Arengada boshiga 3000$ Yilik gadavoy 30 +998933113636
2025-02,Captiva  4 qlingan 2011.yil 105.000km Prapan gazi bor Xolati ideal Narxi 11500$ Arendaga boshiga 2500$  Yillik gadavoy 25  +998933113636
2025-02,Nexia 2 2014.yil Supper bez kansaner 269.000km 1.6 dons mator Metan gazi bor Kraska kapot krilo Ichi butun  Narxi 4150$ Faqat naxtka boliwi +998933113636 +998998153434
2025-02,- Nexia 2 2015.yil 162.000km 1.5mator sons Supper kansaner 4.pk metan gaz 1ta kapot uchi pitno Srochno srochno  Narxtka bolishi sotildi. Kami yoq tori kesa tel qlila Manzil Toshkent Chlonzor Sotildi
