date,post_text
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA AVTOMAT FULL 📆 2023 💎 KRILO 👣 59.000km ⛽️ BENZIN 💰 12.900$                           ☎️       +998555120666          Kapital bank 1.Boshlang‘ich to‘lov 1250$ 36 oy 7.755.000 so‘m 596$ 2.Boshlang‘ich to‘lov 1450$ 48 oy 6.490.000 so'm 499$ 3.Boshlang‘ich to‘lov 1650$ 60 oy 5.770.000 so'm 444$   Kapital bank+ 1.Boshlang‘ich to‘lov 2650$ 36 oy 6.895.000 so‘m 530$ 2.Boshlang‘ich to‘lov 2800$ 48 oy 5.770.000 so'm 444$   3.Boshlang‘ich to‘lov 300$ 60 oy 5.135.000 so'm 395$    Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan Telegram | Instagram | Lokatsiya
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA AVTOMAT FULL 📆 2022 💎 KRILO 👣 59.000km ⛽️ BENZIN/GAZ  💰 12.200$                           ☎️       +998555120666          Kapital bank 1.Boshlang‘ich to‘lov 1450$ 36 oy 7.205.000 so‘m 555$ 2.Boshlang‘ich to‘lov 1650$ 48 oy 6.030.000 so'm 465$ 3.Boshlang‘ich to‘lov 1800$ 60 oy 5.365.000 so'm 415$   Kapital bank+ 1.Boshlang‘ich to‘lov 2550$ 36 oy 6.522.000 so‘m 502$ 2.Boshlang‘ich to‘lov 2700$ 48 oy 5.460.000 so'm 420$ 3.Boshlang‘ich to‘lov 2900$ 60 oy 4.855.000 so'm 375$    Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan Telegram | Instagram | Lokatsiya
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #KIA SELTOS FULL 📆 2021 💎 KRILO 👣 110.000km ⛽️ BENZIN/PROPAN 💰 17.600$                      ☎️      +998555120666          @Nerds_auto_admin          Kapital bank 1.Boshlang‘ich to‘lov 1000$ 36 oy 10.840.000 so‘m 833$ 2.Boshlang‘ich to‘lov 1250$ 48 oy 9.065.000 so'm 697$ 3.Boshlang‘ich to‘lov 1500$ 60 oy 8.070.000 so'm 620$   Kapital bank+ 1.Boshlang‘ich to‘lov 3400$ 36 oy 9.605.000 so‘m 739$ 2.Boshlang‘ich to‘lov 3600$ 48 oy 8.040.000 so'm 618$ 3.Boshlang‘ich to‘lov 3850$ 60 oy 7.150.000 so'm 550$  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan  Telegram | Instagram |Lokatsiya
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #KIA K5  2 LIK 📆 2023 💎 TOZA 👣 38.000km ⛽️ BENZIN 💰 21.000$    ☎️          +998555120666                @Nerds_auto_admin          Kapital bank 1.Boshlang‘ich to‘lov  2150$ 36 oy 12.190.000 so‘m 941$ 2.Boshlang‘ich to‘lov 2450$ 48 oy 10.200.000 so’m 788$ 3.Boshlang‘ich to‘lov 2700$ 60 oy 9.075.000 so'm 701$  Kapital bank + 1.Boshlang‘ich to‘lov 3800$ 36 oy 11.160.000 so‘m 861$ 2.Boshlang‘ich to‘lov 4100$ 48 oy 9.335.000 so'm 721$ 3.Boshlang'ich to'lov 4350$ 60 oy 8.305.000 so'm 641$                   Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan Telegram | Instagram | Lokatsiya
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #MALIBU 2 PRIMER TURBO 📆 2021 💎 ESHIK PETNO 👣 97.00km ⛽️ BENZIN 💰 w20.800$    ☎️        +998555120666            @Nerds_auto_admin  Kapital bank 1.Boshlang‘ich to‘lov 2550$ 36 oy 11.820.000 so‘m 913$ 2.Boshlang‘ich to‘lov 2800$ 48 oy 9.890.000 so'm 764$ 3.Boshlang‘ich to‘lov 3100$ 60 oy 8.800.000 so'm 680$   Kapital  bank + 1.Boshlang‘ich to‘lov 3750$ 36 oy 11.085.000 so‘m 856$ 2.Boshlang‘ich to‘lov 4000$ 48 oy 9.275.000 so'm 716$ 3.Boshlang‘ich tolov  4250$                                                                                                                                                                                                      60 oy 8.250.000 so'm 637$    Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilg an Telegram | Instagram | Lokatsiya
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #KIA SELTOS BEZLYUK 📆 2021 💎 TOZA 👣 100.000km ⛽️ BENZIN 💰 17.900$                      ☎️      +998555120666          @Nerds_auto_admin          Kapital bank  1.Boshlang‘ich to‘lov 1700$ 36 oy 10.540.000 so‘m 814$ 2.Boshlang‘ich to‘lov 1950$ 48 oy 8.820.000 so'm 681$ 3.Boshlang‘ich to‘lov 2200$ 60 oy 7.845.000 so'm 606$   Kapital bank+  1.Boshlang‘ich to‘lov 3400$ 36 oy 9.505.000 so‘m 734$ 2.Boshlang‘ich to‘lov 3600$ 48 oy 7.955.000 so'm 614$ 3.Boshlang‘ich to‘lov 3850$ 60 oy 7.075.000 so'm 546$  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan  Telegram | Instagram |Lokatsiya
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #TRACKER 2 Primer  📆 2021 💎 TOZA 👣 70.500km ⛽️ BENZIN  💰 14.400$                  ☎️      +998555012666          @Nerds_auto_admin          Kapital bank   1.Boshlang‘ich to‘lov 1100$ 36 oy 8.765.000 so‘m 677$ 2.Boshlang‘ich to‘lov 1300$ 48 oy 7.335.000 so'm 566$ 3.Boshlang‘ich to‘lov 1500$ 60 oy 6.525.000 so'm 504$   Kapital bank +  1.Bosh lang‘ich to‘lov 2850$ 36 oy 7.660.000 so‘m 582$ 2.Boshlang‘ich to‘lov 3050$ 48 oy 6.410.000 so'm 495$ 3.Boshlang'ich to'lov 3250$ 60 oy 5.705.000 so'm 440$   Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan Telegram | Instagram |  Lokatsiya
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA AVTOMAT FULL 📆 2021 💎 TOZA/KARANDASH TEKKAN 👣 79.000km ⛽️ BENZIN 💰 11.300$                                                                                                     ☎️       +998555120666            @Nerds_auto_admin                                                                             Kapital bank 1.Boshlang‘ich to‘lov 950$ 36 oy 6.925.000 so‘m 534$ 2.Boshlang‘ich to‘lov 1150$ 48 oy 5.795.000 so'm 447$ 3.Boshlang‘ich to‘lov 1300$ 60 oy 5.155.000 so'm 398$  Kapital bank+ 1.Boshlang‘ich to‘lov 2450$ 36 oy 6.005.000 so‘m 464$ 2.Boshlang‘ich to‘lov 2600$ 48 oy 4.025.000 so'm 388$ 3.Boshlang‘ich to‘lov 2750$ 60 oy 4.475.000 so'm 345$  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan  Telegram | Instagram | Lokatsiyaw
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA AVTOMAT FULL 📆 2019 💎 KRASKA BOR 👣 112.000km ⛽️ BENZIN 💰 9.100$                                                                                                     ☎️       SOTILDI!                                                                            Kapital bank 1.Boshlang‘ich to‘lov 550$ 36 oy 5.830.000 so‘m 450$ 2.Boshlang‘ich to‘lov 650$ 48 oy 4.880.000 so'm 377$ 3.Boshlang‘ich to‘lov 800$ 60 oy 4.340.000 so'm 335$  Kapital bank+ 1.Boshlang‘ich to‘lov 2150$ 36 oy 4.840.000 so‘m 374$ 2.Boshlang‘ich to‘lov 2250$ 48 oy 4.050.000 so'm 313$ 3.Boshlang‘ich to‘lov 2350$ 60 oy 3.605.000 so'm 278$   Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan Telegram | Instagram | Lokatsiya
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA AVTOMAT FULL 📆 2019 💎 KRASKA BOR 👣 115.000km ⛽️ BENZIN 💰 9.200$                                                                                                     ☎️       +998555120666            @Nerds_auto_admin                                                                             Kapital bank 1.Boshlang‘ich to‘lov 600$ 36 oy 5.830.000 so‘m 450$ 2.Boshlang‘ich to‘lov 750$ 48 oy 4.880.000 so'm 377$ 3.Boshlang‘ich to‘lov 900$ 60 oy 4.340.000 so'm 335$  Kapital bank+ 1.Boshlang‘ich to‘lov 2150$ 36 oy 4.900.000 so‘m 378$ 2.Boshlang‘ich to‘lov 2250$ 48 oy 4.100.000 so'm 317$ 3.Boshlang‘ich to‘lov 2350$ 60 oy 3.650.000 so'm 282$   Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan Telegram | Instagram | Lokatsiya
