date,post_text
2025-03,"🏡ҲОВЛИ СОТИЛАДИ / АЙИРБОШ ҚИЛИНАДИ  📍 Манзил: Жиззах шаҳри, Х.Носиров жамоатчилик ҳудуди, Зиёкор маҳалласи, Туркистон кўчаси, 64-уй  ✔️ Газ, свет, сув ва WI-FI билан таъминланган  ✔️ 9 хонали кенг ва шинам уй ✔️ 6 сотих ер майдонига эга  ✔️ Шаҳар ичидаги 3 хонали квартирага айирбош қилиш имконияти мавжуд (ўртадаги разница келишилади)  💵 Нархи: Келишилган ҳолда  Батафсил маълумот учун: 📞 +998 95 123 11 10 📞 +998 99 244 87 78  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"📢 ""Harmony"" клиникасига ошпаз керак!  💰 Иш ҳаққи: 2 млн сўм 📍 Манзил: Самарқанд шаҳар, Согдиана, ""Янги обод"" масжиди ёнида  ✅ Биздаги афзалликлар: 🔹 Иш ҳақи ўз вақтида тўланади 🔹 Тушлик ишхона томонидан таъминланади 🔹 ⏰ Иш вақти: 7:30-18:00 (2/2) 🔹 ☺️ Аҳил ва қувноқ жамоа  🔖 Талаблар: 📌 Одоб-ахлоқ, масъулият ва озодалик 📌 Уйингиз Согдианага яқин бўлиши маъқул  📞 Алоқа: +998976121850 (9:00-19:00)  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,Нексия 3 2 позиция механика сотилади ❗️  📅 йили 2019 👣 пробег 38000 км 💎 краска тоза  🎨 мокрые асфальт  ⛽️ ёкилги бензин  💰 нархи 8700$ ☎️ +998901942841 🚩 Самарқанд  👉https://t.me/+BE5J-l_jsyA5YmMy
2025-03,Спарк 2 позиция механика сотилади ❗️  📅 йили 2019 👣 пробег 206000 км 🛠 краска 2 та деталда петно  ⚪️ белый цвет  ⛽️ бензин метан  💰 6900$ ками бор ☎️ +998905488577 🚩 Самарқанд Тойлок  👉https://t.me/+BE5J-l_jsyA5YmMy
2025-03,"📢 Master shashlikchi kerak! 🏠 ""Golden shashlik"" oshxonasi 📌 Talablar: ✔ Xushmuomala ✔ Mas'uliyatli ✔ Kamida 1 yil ish tajribasi  💰 Oylik maosh: 3 000 000 - 4 000 000 so‘m ⏰ Ish vaqti: 08:00 – 20:00 📍 Manzil: Samarqand, Oblastnaya balnitsa yonida 📞 Aloqa: 90 250 83 33 (soat 09:00 – 20:00)  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,📢 АССАЛОМУ АЛАЙКУМ! ДЎСТЛАРИНГИЗНИ ҚЎШИНГ ВА ПУЛ ИШЛАНГ!  Самарқанд Бозори гуруҳига 50 та одам қўшинг – 20 000 сўм мукофот олинг!  👉@samarqand_bozori_elon Bog'lanish uchun @pr_Abduraximov
2025-03,"📢 Акфа корхонасига малакали ҳайдовчилар талаб қилинади! 🚚 ""Бонго"" бошқара оладиган ҳайдовчилар 💰 Ойлик: суҳбат жараёнида келишилади 📍 Манзил: Самарқанд шаҳар, Кафтархона МФЙ 📞 Алоқа: +998 97 921 35 25  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"🚘Moshina modeli: #Gentra  🔢Pozitsiya: 1 euro MT 🔄Kraska: Toza ♻️Rangi: Oq 📶Yil: 2015 🆙Probeg: 35.000 km ⛽️Benzin 💲Narxi: 9,600$ 📞Tel: +998931878063 🚩 Samarqand  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"Ҳурматли ўртоқлар!  Эртага Наврўз куни ифторга меникига келинглар, курка димлайман; бир ёқда шашлик қиламиз: қийма, жиз, товуқ аралаш; қозонда қўй гўштидан шўрвача билқиллаб қайнаб туради; балиқ пиширамиз; дастурхонни ноз-неъматлар, мева-чевалар билан тўлдириб ташлайман; кейин катта торт ҳам айтиб қўйганман, э хуллас, маза қилиб ўтирамиз-да, бир яйраймиз, келсанглар бўлди, ҳаммаси зўр бўлади, ўйин-кулгу қиламиз, деб кимдир чақирса, мениям айтинглар😅   👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"📢 Kartoshka urug‘lik sotiladi! 💰 Narxi: 8 500 so‘m 📍 Manzil: Bulung‘ur tumani, Niyozmat mahallasi 📞 Aloqa: +998955906539  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"🚘Moshina modeli: #Gentra  🔢Pozitsiya: 2 Style 🔄Kraska: 1 ta petno ♻️Rangi: Oq 📶Yil: 2023 🆙Probeg: 9.417 km ⛽️Benzin 💲Narxi: 13,400$ 📞Tel: +998945788379 🚩 Jizzax  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"📢 Samsachi kerak!  👨‍🍳 Ishni biladigan bola kerak 💰 Oylik: 150 000 - 200 000 so‘m ⏰ Ish vaqti: 06:00 - 07:00 📍 Manzil: Samarqand shahar, 8-Mart ko‘chasi, Navoiy shoh, Temur shohning ro‘parasidagi samsaxona 📞 Aloqa: 90 451 70 03  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,Jetour x70  Restyling сотилади ❗️  📆 йили 2023 👣 пробег 37000 км  💎 краска тоза  🎨 ранги кора  ⛽️ ёкилги бензин  💰 нархи 20500$ 🔂 янги Кобалтга бартер бор  ☎️ +998993306565 🚩 Карши  👉https://t.me/+BE5J-l_jsyA5YmMy
2025-03,"🚘Moshina modeli: #Nexia 3 🔢Pozitsiya: Avtomat 🔄Kraska: Toza ♻️Rangi: Oq 📶Yil: 2020 🆙Probeg: 100.000 km ⛽️Benzin + Propan 💲Narxi: 9,100$ 📞Tel: +998995000333 🚩 Samarqand  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"🚘Moshina modeli: #Onix 🔢Pozitsiya: 3 LT mexanika  🔄Kraska: Toza  ♻️Rangi: Oq  📶Yil: 2023 🆙Probeg: 13.600 km ⛽️Benzin 💲Narxi: 12,000$ kelishiladi  📞Tel: +998999585906 📞Tel: +998900210212 🚩 Samarqand   👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"Лабо сотилади ❗️  📅 йили 2016, 👣 пробег 135200 км  💎 краска тоза  ⚪️ белый цвет  ✅ камера ,кушимча ресор,магнитофон ,бир кул минилган  ⛽️ бензин метан  💰 6400$ ками бор ❌ банк вариант йўқ  ☎️ +998946195759 🚩 Самарқанд шахар  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"📢 O‘quv markaziga o‘qituvchilar kerak! 📚 Rus va o‘zbek guruhlariga ingliz tili o‘qituvchisi 📚 Rus tili o‘qituvchisi 💰 Maosh: Kelishilgan holda 📍 Manzil: Samarqand shahar, Uzoq lager, Qaynama mahallasi 📍 Mo‘ljal: Muslim Denta, kollej yo‘lida 📞 Aloqa: 93 729-36-64, 93 339-87-02  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,"🚘Moshina modeli: #Gentra  🔢Pozitsiya: Avtomat 🔄Kraska: Bagaj ♻️Rangi: Mokriy 📶Yil: 2018 🆙Probeg: 270.000 km ⛽️Benzin gaz 4 pok 💲Narxi: 10,000$ 📞Tel: +998907998090 🚩 Jizzax  👉https://t.me/+BE5J-l_jsyA5YmMy"
2025-03,📍  Hudud: #Samarqand  🚹 #Ayollar  🆔 Yosh: 20-45  💲Oylik: kelishiladi ☎️ Tel: +998336169959         +998973954220  📣Самарканд шахрида аелларни ишга оламиз пирожки пиширишга ва повара ердамчи  ⚠️Пирожки пишира оладиган булиши олдин ишлаган булиши керак   ⏰Иш вакти 7.00-19.30 гача  ⚠️Талаблар олдин ишлаган булиши шарт  📍Самарканд Шахар Университет хиебони 15 (Бульвар)  👉https://t.me/+BE5J-l_jsyA5YmMy
