date,post_text
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA AVTOMAT FUL 📆 2023 💎 kapot 👣 160.000 ⛽️ BENZIN/GAZ 💰 13.300$                  ☎️          +998944151525                   +998990474457                             Kapital bank   1. Boshlang‘ich to‘lov 300$ 36 oy 8.220.000 so‘m 635$ 2.Boshlang‘ich to‘lov 400$ 48 oy 6.880.000 so'm 531$ 3.Boshlang‘ich to‘lov 500$ 60 oy 6.120.000 so'm 472$  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilganw
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #TRACKER 2 Primer  📆 2022 💎 TOZA 👣 104.000km ⛽️ BENZIN / PROPAN 💰 15.200$                  ☎️      +998944151525                    Kapital bank  1.Boshlang‘ich to‘lov 2100$ 36 oy 8.885.000 so‘m 686$ 2.Boshlang‘ich to‘lov 2200$ 48 oy 7.435.000 so'm 575$ 3.Boshlang‘ich to‘lov 2600$ 60 oy 6.615.000 so'm 511$ Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #MALIBU 2.4  📆 2018 💎 KRILO  👣 170.000km ⛽️ BENZIN 💰 16.500$                          ☎️      +998944151525                     Kapital bank   1.Boshlang‘ich to‘lov 2500$ 36 oy 9.510.000 so‘m 734$                                                                                                                            Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA AVTOMAT FULL 📆 2021 💎 KRASKA BOR  👣 128.000km ⛽️ BENZIN  💰 11.350$                           ☎️           +998944151525                Kapital bank   1.Boshlang‘ich to‘lov 1400$ 36 oy 6.922.000 so‘m 535$                                                                                                                           2.Boshlang‘ich to‘lov 1600$ 48 oy 5.792.000 so'm 450$ 3.Boshlang‘ich to‘lov 1800$ 60 oy 5.155.000 so'm 400$  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA MEXANIKA 📆 2022 💎 KAPOT KRELO  👣 34.000km ⛽️ BENZIN / GAZ 💰 9.500$                           ☎️           +998944151525          Kapital bank   1.Boshlang‘ich to‘lov 600$ 36 oy 6.197.000 so‘m 480$                                                                                                                           2.Boshlang‘ich to‘lov 800$ 48 oy 5.190.000 so'm 400$ 3.Boshlang‘ich to‘lov 1000$ 60 oy 4.615.000 so'm 356$  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA AVTOMAT FULL 📆 2021 💎 KAPOT  👣 116.000km ⛽️ BENZIN/GAZ 💰 11.300$                                                                                                     ☎️       +998944151525                                                                                         Kapital bank 1.Boshlang‘ich to‘lov 1300$ 36 oy 6.925.000 so‘m 535$ 2.Boshlang‘ich to‘lov 1500$ 48 oy 5.795.000 so'm 447$ 3.Boshlang‘ich to‘lov 1700$ 60 oy 5.155.000 so'm 398$   Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #MONZA 1.5 📆 2023 💎 ESHIK 👣 26.000km ⛽️ BENZIN 💰 14.200$                  ☎️        +998944151525               Kapital bank 1.Boshlang‘ich to‘lov 1800$ 36 oy 8.460.000 so‘m 653$ 2.Boshlang‘ich to‘lov 2000$ 48 oy 7.080.000 so'm 547$ 3.Boshlang‘ich to‘lov 2200$ 60 oy 6.300.000 so'm 486$  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #GENTRA AVTOMAT FULL 📆 2020 💎 KRILO/KAPOT 👣 150.000km ⛽️ BENZIN/PROPAN 💰 10.400$                                                                                                     ☎️       +998944151525                                                                                         Kapital bank 1.Boshlang‘ich to‘lov 1700$ 36 oy 6.150.000 so‘m 473$ 2.Boshlang‘ich to‘lov 1900$ 48 oy 5.130.000 so'm 396$ 3.Boshlang‘ich to‘lov 2100$ 60 oy 4.565.000 so'm 352$   Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #HYUNDAI ELANTRA  📆 2022 💎 KAPOT PETNO 👣 148.000km ⛽️ BENZIN/PROPAN 💰 16.700$                  ☎️      +998944151525                                                                                    Kapital bank 1.Boshlang‘ich to‘lov 1300$ 36 oy 10.365.000 so‘m 800$ 2.Boshlang‘ich to‘lov 1600$ 48 oy 8.670.000 so'm 670$ 3.Boshlang‘ich to‘lov 2000$ 60 oy 7.715.000 so'm 596$  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan
2025-03,#Kredit va Naqd pulga sotib oling!!!  🚘 #TRACKER 1 PREMIER 📆 2020 💎 TOZA 👣 68.000km ⛽️ BENZIN 💰 12.800$                  ☎️            +998944151525                         Kapital bank 1.Boshlang‘ich to‘lov 900$ 36 oy 8.150.000 so‘m 629$ 2.Boshlang‘ich to‘lov 1100$ 48 oy 6.820.000 so'm 527$ 3.Boshlang‘ich to‘lov 1400$ 60 oy 6.070.000 so'm 468$  Izoh: Boshlangʻich toʻlovlarda jami harajatlar umumiy keltirilgan
