date,post_text
2025-03,🇨🇳 Lynk & Co 01 🚀
2025-03,🇨🇳 Lynk & Co 01 - 2021 года  🟡 Кузов: Кроссовер    🟡 Передний привод  🟡 5 мест  🟡 Двигатель: 2.0 литра на 218 л.с. 🟡 Комплектация: 2WD Pro 🟡 Коробка: Автомат 🟡 Пробег: 68.000 км.  🪙 Цена: 2.090.000 ₽  💬 Для получения дополнительной информации обращайтесь: +7(967)600-40-99 📱/📱  #китайскоеавто #lynkco #городскойавто #кроссовер #турбомотор #бензин #автоизкитая #автозаказ #geely
2025-03,https://vk.com/video-223451442_456239274
2025-03,Куплен авто из Китая 🇨🇳  🥬 Hyundai Creta (ix 25) - 2021 года  ⚪️Мотор: 1.5 литра на 115 л.с. ⚪️Коробка: Вариатор (CVT) ⚪️Передний привод  ⚪️Пробег: 44.000км  🏦 Цена: 1.450.000₽  Поедет в город Великий Новгоро🔥Светлана поздравляем  вас с покупкой
2025-03,🇩🇪Audi A3 Sportback 35 TFSI - 2022 год  🔴 Кузов: Хэтчбек    🔴 Передний привод  🔴 5 мест  🔴 Двигатель: 1.4 литра на 150 л.с. 🔴 Комплектация: Fashion Sport 🔴 Коробка: 7-ступ. Робот 🔴 Пробег: 24.000 км.  🪙 Цена: 2.250.000 ₽  💬 Для получения дополнительной информации обращайтесь: +7(967)600-40-99 📱/📱  #немецкаямашина #audi #a3 #городскаямашина #хэтчбек  #турбомотор #бензин #автоизкитая #автозаказ #dsg #tfsi #переднийпривод
2025-03,🇸🇪Volvo XC60 - 2022 года  🟡 Кузов: Кроссовер    🟡 Полный привод  🟡 5 мест  🟡 Двигатель: 2.0 литра на 250 л.с. 🟡 Комплектация: Zhiyuan Deluxe 🟡 Коробка: 8-ступ. Автомат 🟡 Пробег: 57.000 км.  🪙 Цена: 3.300.000 ₽  💬 Для получения дополнительной информации обращайтесь: +7(967)600-40-99 📱/📱  #шведскаякомпания #volvo #xc60  #городскаямашина  #кроссовер #турбомотор #бензин #автоизкитая #автозаказ
2025-03,"🇰🇷 Kia SOUL - 2021 года  🔵 Кузов: Хэтчбэк    🔵 Передний привод  🔵 5 мест  🔵 Двигатель: 1,6 литра на 204 л.с. 🔵 Комплектация: Самый кайф 🔵 Коробка: Робот 🔵 Пробег: 65.000 км.  🪙 Цена: 1.950.000 ₽  💬 Для получения дополнительной информации обращайтесь: +7(967)600-40-99 📱/📱  #корейскоеавто #kia #soul #городскаямашина #хэтчбэк #турбомотор #бензин #автоизкореи #автозаказ"
2025-03,🇩🇪 Mercedes-Benz GLC 300L - 2020 год  🟡 Кузов: Кроссовер    🟡 Полный привод (4MATIC) 🟡 5 мест  🟡 Двигатель: 2.0 литра на 258 л.с. 🟡 Комплектация: 300L 4MATIC 🟡 Коробка: Автомат 🟡 Пробег: 64.000 км.  🪙 Цена: 3.900.000 ₽  💬 Для получения дополнительной информации обращайтесь: +7(967)600-40-99 📱/📱  #немецкиеавто #mercedesbenz #glc #300 #премиумавто #кроссовер #турбомотор #бензин #бизнескласс #автоизкитая #автозаказ
2025-03,🇯🇵 Honda Accord 260TURBO  - 2022 года  🔴 Кузов: Седан    🔴 Передний привод  🔴 5 мест  🔴 Двигатель: 1.5 литра на 194 л.с. 🔴 Комплектация: Jingyue Edition 🔴 Коробка: Вариатор 🔴 Пробег: 47.000 км.  🪙 Цена: 2.380.000 ₽  💬 Для получения дополнительной информации обращайтесь: +7(967)600-40-99 📱/📱  #японскоеавто #honda  #accord #переднийпривод #седан #турбомотор #бензин #бизнескласс #автоизкитая #автозаказ
2025-03,🇰🇷 Hyundai Tucson L - 2022 года  🔵 Кузов: Кроссовер    🔵 Передний привод  🔵 5 мест  🔵 Двигатель: 1.5 литра на 200 л.с. 🔵 Комплектация: Premium Edition 🔵 Коробка: 7-ступ. Робот  🔵 Пробег: 45.000 км.  🪙 Цена: 2.050.000 ₽  💬 Для получения дополнительной информации обращайтесь: +7(967)600-40-99 📱/📱  #корейскоеавто #hyundai  #tucson #переднийпривод #кроссовер #турбомотор #бензин #семейныйавто #автоизкитая #автозаказ
