date,post_text
2025-03,Toyota Ev IZOA   Yili: 2022 Probeg: 37.000 km   420 km yuradi   Kraska toza   Narxi : 17.200 $   Tel :   930042211 900330913
2025-03,Малибу 2 Turbo Yili: 2019-2020   Probeg : 88.000 km   Kraska toza  Polniy premier qilingan tablolari bilan hamma joyi   Narxi : 21000$  Avtokredit va Nasiyaga ham bor   Batafsil  Tel:   930042211 900330913
2025-03,"Malibu 2 Турбо премьер килинган  Йили : 2019 Пробег: 89.000 км  Краска Тоза  Полный шумка боган Табло, Орка стоп , Аквапринт хаммаси Премьер килинган   колонка койилган Bose  4 та Янги  юмшо балон   Нархи : 20400$  Автокредит ва Насияга хам бор    Батафсил  Тел :   930042211 900330913"
2025-03,Trecker Redline Full позиция  2021 Китайская версия  Озимизда чкани емас  Краска тоза  Новороти коп   Пробег : 28.000 км   Нархи : 16.000$   Автокредит ва Насияга хам бор   Тел :   930042211 900330913
2025-03,Kia Stinger 2023    Пробег 7000 км. В идельном состоянии. Установлены нолевики Injen Установлен компьютер JB4 на 8 карт разгон 4 сек /100 Тюнинг по обвесам Сигнализация.   Цена: 55000 $    Тел:   930042211 900330913
2025-03,Jentra 2020 Probeg: 91.000 km Narxi : 12.700$  Kraska toza tanirovka ruxsatnoma bor Metan bor Avto kredit boshlanginch tolov: 1.600$ Batafsil  Tel:   930042211 900330913
2025-03,Jentra 2020 Probeg: 54.000 km Narxi : 13.200$  Kraska toza tanirovka ruxsatnoma bor novarot bor  Avto kredit boshlanginch tolov: 2000$ Batafsil  Tel:   930042211 900330913
2025-03,Malibu 2 Premier 2022 Probeg: 53.000 km Narxi : 27.300$  Kraska toza 3.000$ novarot bor Avto kredit boshlanginch tolov: 9.400$ Batafsil  Tel:   930042211 900330913
2025-03,Hyundai Santafe 2020 Probeg: 81000 km  Narxi : 26000 $   7 o’rindiqli Kraska eshigida petno bor   Batafsil  Tel:   930042211 900330913
2025-03,Malibu 2 Premier 2020 Probeg : 61.000 km Narxi : 22.800 $   Kraska toza  4 ta Yaxshi yumshoq balon  Avtokredit boshlangich to'lov  4800$ Tel :   930042211 900330913
2025-03,Tracker 2 premier 2023  Probeg : 37000 km  Narxi : 16.300 $   Kraska toza  Tonirovka ruxsatnoma bor   Avtokredit boshlangich to'lov  3500$ 5 yilga oylik to'lov 6.935 012 so'm 3 yilga 3100$ oylik to'lov 9.314992 so'm  Tel :   930042211 900330913
2025-02,Malibu Premier 2022 Probeg : 25000 km  Narx : 27200 $   Kraska kapotida bor   Mers Xadavoy qilingan  Tonirovka  Propani bor  4 ta yangi yumsho balon  Haydashga tayyor olasiz minasiz   Avtokredit va Nasiyaga ham bor batafsil :   900330913 930042211
